Date,Amazon,Facebook
04.01.2016,636.989990,102.220001
05.01.2016,633.789978,102.730003
06.01.2016,632.650024,102.970001
07.01.2016,607.940002,97.919998
08.01.2016,607.049988,97.330002
11.01.2016,617.739990,97.510002
12.01.2016,617.890015,99.370003
13.01.2016,581.809998,95.440002
14.01.2016,593.000000,98.370003
15.01.2016,570.179993,94.970001
19.01.2016,574.479980,95.260002
20.01.2016,571.770020,94.349998
21.01.2016,575.020020,94.160004
22.01.2016,596.380005,97.940002
25.01.2016,596.530029,97.010002
26.01.2016,601.250000,97.339996
27.01.2016,583.349976,94.449997
28.01.2016,635.349976,109.110001
29.01.2016,587.000000,112.209999
01.02.2016,574.809998,115.089996
02.02.2016,552.099976,114.610001
03.02.2016,531.070007,112.690002
04.02.2016,536.260010,110.489998
05.02.2016,502.130005,104.070000
08.02.2016,488.100006,99.750000
09.02.2016,482.070007,99.540001
10.02.2016,490.480011,101.000000
11.02.2016,503.820007,101.910004
12.02.2016,507.079987,102.010002
16.02.2016,521.099976,101.610001
17.02.2016,534.099976,105.199997
18.02.2016,525.000000,103.470001
19.02.2016,534.900024,104.570000
22.02.2016,559.500000,107.160004
23.02.2016,552.940002,105.459999
24.02.2016,554.039978,106.879997
25.02.2016,555.150024,108.070000
26.02.2016,555.229980,107.919998
29.02.2016,552.520020,106.919998
01.03.2016,579.039978,109.820000
02.03.2016,580.210022,109.949997
03.03.2016,577.489990,109.580002
04.03.2016,575.140015,108.389999
07.03.2016,562.799988,105.730003
08.03.2016,560.260010,105.930000
09.03.2016,559.469971,107.510002
10.03.2016,558.929993,107.320000
11.03.2016,569.609985,109.410004
14.03.2016,573.369995,109.889999
15.03.2016,577.020020,110.669998
16.03.2016,574.270020,112.180000
17.03.2016,559.440002,111.019997
18.03.2016,552.080017,111.449997
21.03.2016,553.979980,111.849998
22.03.2016,560.479980,112.250000
23.03.2016,569.630005,112.540001
24.03.2016,582.950012,113.050003
28.03.2016,579.869995,113.690002
29.03.2016,593.859985,116.139999
30.03.2016,598.690002,114.699997
31.03.2016,593.640015,114.099998
01.04.2016,598.500000,116.059998
04.04.2016,593.190002,112.550003
05.04.2016,586.140015,112.220001
06.04.2016,602.080017,113.709999
07.04.2016,591.429993,113.639999
08.04.2016,594.599976,110.629997
11.04.2016,595.929993,108.989998
12.04.2016,603.169983,110.610001
13.04.2016,614.820007,110.510002
14.04.2016,620.750000,110.839996
15.04.2016,625.890015,109.639999
18.04.2016,635.349976,110.449997
19.04.2016,627.900024,112.290001
20.04.2016,632.989990,112.419998
21.04.2016,631.000000,113.440002
22.04.2016,620.500000,110.559998
25.04.2016,626.200012,110.099998
26.04.2016,616.880005,108.760002
27.04.2016,606.570007,108.889999
28.04.2016,602.000000,116.730003
29.04.2016,659.590027,117.580002
02.05.2016,683.849976,118.570000
03.05.2016,671.320007,117.430000
04.05.2016,670.900024,118.059998
05.05.2016,659.090027,117.809998
06.05.2016,673.950012,119.489998
09.05.2016,679.750000,119.239998
10.05.2016,703.070007,120.500000
11.05.2016,713.229980,119.519997
12.05.2016,717.929993,120.279999
13.05.2016,709.919983,119.809998
16.05.2016,710.659973,118.669998
17.05.2016,695.270020,117.349998
18.05.2016,697.450012,117.650002
19.05.2016,698.520020,116.809998
20.05.2016,702.799988,117.349998
23.05.2016,696.750000,115.970001
24.05.2016,704.200012,117.699997
25.05.2016,708.349976,117.889999
26.05.2016,714.909973,119.470001
27.05.2016,712.239990,119.379997
31.05.2016,722.789978,118.809998
01.06.2016,719.440002,118.779999
02.06.2016,728.239990,118.930000
03.06.2016,725.539978,118.470001
06.06.2016,726.729980,118.790001
07.06.2016,723.739990,117.760002
08.06.2016,726.640015,118.389999
09.06.2016,727.650024,118.559998
10.06.2016,717.909973,116.620003
13.06.2016,715.239990,113.949997
14.06.2016,719.299988,114.940002
15.06.2016,714.260010,114.599998
16.06.2016,717.510010,114.389999
17.06.2016,706.390015,113.019997
20.06.2016,714.010010,113.370003
21.06.2016,715.820007,114.379997
22.06.2016,710.599976,113.910004
23.06.2016,722.080017,115.080002
24.06.2016,698.960022,112.080002
27.06.2016,691.359985,108.970001
28.06.2016,707.950012,112.699997
29.06.2016,715.599976,114.160004
30.06.2016,715.619995,114.279999
01.07.2016,725.679993,114.190002
05.07.2016,728.099976,114.199997
06.07.2016,737.609985,116.699997
07.07.2016,736.570007,115.849998
08.07.2016,745.809998,117.239998
11.07.2016,753.780029,117.870003
12.07.2016,748.210022,117.930000
13.07.2016,742.630005,116.779999
14.07.2016,741.200012,117.290001
15.07.2016,735.440002,116.860001
18.07.2016,736.070007,119.370003
19.07.2016,739.950012,120.610001
20.07.2016,745.719971,121.919998
21.07.2016,744.429993,120.610001
22.07.2016,744.859985,121.000000
25.07.2016,739.609985,121.629997
26.07.2016,735.590027,121.220001
27.07.2016,736.669983,123.339996
28.07.2016,752.609985,125.000000
29.07.2016,758.809998,123.940002
01.08.2016,767.739990,124.309998
02.08.2016,760.580017,123.089996
03.08.2016,754.640015,122.510002
04.08.2016,760.770020,124.360001
05.08.2016,765.979980,125.150002
08.08.2016,766.559998,125.260002
09.08.2016,768.309998,125.059998
10.08.2016,768.559998,124.879997
11.08.2016,771.239990,124.900002
12.08.2016,772.559998,124.879997
15.08.2016,768.489990,123.900002
16.08.2016,764.039978,123.300003
17.08.2016,764.630005,124.370003
18.08.2016,764.460022,123.910004
19.08.2016,757.309998,123.559998
22.08.2016,759.479980,124.150002
23.08.2016,762.450012,124.370003
24.08.2016,757.250000,123.480003
25.08.2016,759.219971,123.889999
26.08.2016,769.000000,124.959999
29.08.2016,771.289978,126.540001
30.08.2016,767.580017,125.839996
31.08.2016,769.159973,126.120003
01.09.2016,770.619995,126.169998
02.09.2016,772.440002,126.510002
06.09.2016,788.869995,129.729996
07.09.2016,784.479980,131.050003
08.09.2016,784.059998,130.270004
09.09.2016,760.140015,127.099998
12.09.2016,771.489990,128.690002
13.09.2016,761.010010,127.209999
14.09.2016,761.090027,127.769997
15.09.2016,769.690002,128.350006
16.09.2016,778.520020,129.070007
19.09.2016,775.099976,128.649994
20.09.2016,780.219971,128.639999
21.09.2016,789.739990,129.940002
22.09.2016,804.700012,130.080002
23.09.2016,805.750000,127.959999
26.09.2016,799.159973,127.309998
27.09.2016,816.109985,128.690002
28.09.2016,828.719971,129.229996
29.09.2016,829.049988,128.089996
30.09.2016,837.309998,128.270004
03.10.2016,836.739990,128.770004
04.10.2016,834.030029,128.190002
05.10.2016,844.359985,128.470001
06.10.2016,841.659973,128.740005
07.10.2016,839.429993,128.990005
10.10.2016,841.710022,130.240005
11.10.2016,831.000000,128.880005
12.10.2016,834.090027,129.050003
13.10.2016,829.280029,127.820000
14.10.2016,822.960022,127.879997
17.10.2016,812.950012,127.540001
18.10.2016,817.650024,128.570007
19.10.2016,817.690002,130.110001
20.10.2016,810.320007,130.000000
21.10.2016,818.989990,132.070007
24.10.2016,838.090027,133.279999
25.10.2016,835.179993,132.289993
26.10.2016,822.590027,131.039993
27.10.2016,818.359985,129.690002
28.10.2016,776.320007,131.289993
